step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
26800,3350,9.992914e-5,0.533257,1.7045,37.89,0.0253,2.788036
26900,3362,9.992863e-5,0.530126,1.6991,38.36,0.0249,2.766183
27000,3375,9.9928075e-5,0.523548,1.6880,38.08,0.0249,2.741102
27100,3387,9.9927565e-5,0.534108,1.7059,44.62,0.0297,2.792528
27200,3400,9.9927e-5,0.548436,1.7305,39.54,0.0241,2.874175
27300,3412,9.992649e-5,0.531592,1.7016,38.85,0.0257,2.794551
27400,3425,9.992592e-5,0.538915,1.7141,38.66,0.0246,2.808674
27500,3437,9.99254e-5,0.513003,1.6703,39.16,0.0250,2.654912
27600,3450,9.9924844e-5,0.513513,1.6712,38.49,0.0266,2.675518
27700,3462,9.992432e-5,0.518361,1.6793,38.52,0.0248,2.684525
27800,3475,9.992375e-5,0.532531,1.7032,38.97,0.0261,2.779819
27900,3487,9.9923214e-5,0.506025,1.6587,39.11,0.0247,2.622990
28000,3500,9.992265e-5,0.517093,1.6771,39.77,0.0264,2.701440
28100,3512,9.992211e-5,0.531253,1.7011,44.53,0.0278,2.794115
28200,3525,9.992154e-5,0.546219,1.7267,39.20,0.0248,2.858615
28300,3537,9.9921e-5,0.522877,1.6869,39.49,0.0260,2.759197
28400,3550,9.992042e-5,0.523111,1.6873,39.35,0.0244,2.717442
28500,3562,9.991988e-5,0.534066,1.7059,39.82,0.0240,2.794116
28600,3575,9.99193e-5,0.519070,1.6805,39.82,0.0251,2.704001
28700,3587,9.991875e-5,0.521492,1.6845,38.66,0.0247,2.676981
28800,3600,9.9918165e-5,0.505373,1.6576,38.73,0.0244,2.629667
28900,3612,9.991761e-5,0.542723,1.7207,39.27,0.0247,2.847049
29000,3625,9.991703e-5,0.529391,1.6979,39.09,0.0253,2.755259
29100,3637,9.991648e-5,0.524763,1.6901,44.45,0.0280,2.761322
29200,3650,9.991588e-5,0.510706,1.6665,40.06,0.0251,2.669249
29300,3662,9.991531e-5,0.532752,1.7036,39.27,0.0255,2.784667
29400,3675,9.9914716e-5,0.527200,1.6942,38.91,0.0245,2.756017
29500,3687,9.991416e-5,0.497732,1.6450,38.85,0.0248,2.583652
29600,3700,9.991355e-5,0.516167,1.6756,39.12,0.0244,2.690665
29700,3712,9.9912984e-5,0.518013,1.6787,39.05,0.0255,2.698094
29800,3725,9.991239e-5,0.519790,1.6817,38.91,0.0247,2.690936
29900,3737,9.991182e-5,0.501650,1.6514,39.20,0.0263,2.596776
30000,3750,9.991121e-5,0.498485,1.6462,38.44,0.0256,2.584075
30100,3762,9.991064e-5,0.503764,1.6549,45.59,0.0292,2.603559
30200,3775,9.9910016e-5,0.520454,1.6828,38.44,0.0260,2.712341
30300,3787,9.990945e-5,0.510221,1.6657,38.73,0.0249,2.667034
30400,3800,9.990882e-5,0.499687,1.6482,39.45,0.0256,2.603423
30500,3812,9.9908255e-5,0.507406,1.6610,39.12,0.0257,2.640911
30600,3825,9.9907615e-5,0.543108,1.7213,40.20,0.0247,2.856874
30700,3837,9.990703e-5,0.521475,1.6845,39.07,0.0238,2.733697
30800,3850,9.990641e-5,0.493924,1.6387,38.80,0.0263,2.559566
30900,3862,9.9905825e-5,0.513780,1.6716,40.26,0.0220,2.677504
31000,3875,9.9905184e-5,0.513936,1.6719,38.64,0.0245,2.676996
