step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
2310700,288837,5e-6,0.370418,1.4483,79.48,0.0244,1.466938
2310800,288850,5e-6,0.387908,1.4739,82.33,0.0231,1.488828
2310900,288862,5e-6,0.355129,1.4264,86.71,0.0219,1.442178
2311000,288875,5e-6,0.362139,1.4364,80.95,0.0250,1.450483
2311100,288887,5e-6,0.348007,1.4162,113.45,0.0322,1.424326
2311200,288900,5e-6,0.395938,1.4858,79.48,0.0239,1.610984
2311300,288912,5e-6,0.370638,1.4487,93.54,0.0208,1.462262
2311400,288925,5e-6,0.348016,1.4163,77.53,0.0258,1.427778
2311500,288937,5e-6,0.350732,1.4201,83.47,0.0235,1.436418
2311600,288950,5e-6,0.425303,1.5301,81.59,0.0240,1.568084
2311700,288962,5e-6,0.368050,1.4449,81.45,0.0243,1.463213
2311800,288975,5e-6,0.362736,1.4373,85.60,0.0219,1.448299
2311900,288987,5e-6,0.377079,1.4580,78.57,0.0249,1.537643
2312000,289000,5e-6,0.349252,1.4180,80.06,0.0236,1.429784
2312100,289012,5e-6,0.375481,1.4557,111.34,0.0325,1.469306
2312200,289025,5e-6,0.365059,1.4406,76.71,0.0256,1.455604
2312300,289037,5e-6,0.357701,1.4300,85.20,0.0225,1.441804
2312400,289050,5e-6,0.362207,1.4365,82.48,0.0234,1.450141
2312500,289062,5e-6,0.351846,1.4217,82.26,0.0234,1.436154
2312600,289075,5e-6,0.393740,1.4825,76.71,0.0256,1.560619
2312700,289087,5e-6,0.371633,1.4501,87.98,0.0221,1.468464
2312800,289100,5e-6,0.405981,1.5008,87.31,0.0216,1.586078
2312900,289112,5e-6,0.348399,1.4168,84.54,0.0231,1.433922
2313000,289125,5e-6,0.372133,1.4508,88.11,0.0219,1.467614
2313100,289137,5e-6,0.361109,1.4349,114.83,0.0308,1.469801
2313200,289150,5e-6,0.355839,1.4274,83.14,0.0235,1.448460
2313300,289162,5e-6,0.376697,1.4575,75.07,0.0277,1.501064
2313400,289175,5e-6,0.362446,1.4368,89.93,0.0215,1.450999
2313500,289187,5e-6,0.347625,1.4157,81.04,0.0239,1.429550
2313600,289200,5e-6,0.364948,1.4404,82.11,0.0227,1.509221
2313700,289212,5e-6,0.362662,1.4372,87.70,0.0213,1.456292
2313800,289225,5e-6,0.344688,1.4116,81.76,0.0223,1.427798
2313900,289237,5e-6,0.343000,1.4092,80.11,0.0235,1.419269
2314000,289250,5e-6,0.411297,1.5088,82.56,0.0219,1.884975
2314100,289262,5e-6,0.373888,1.4534,106.90,0.0335,1.621109
2314200,289275,5e-6,0.356091,1.4277,79.36,0.0238,1.442242
2314300,289287,5e-6,0.384159,1.4684,76.88,0.0243,1.545687
2314400,289300,5e-6,0.384855,1.4694,77.63,0.0247,1.559952
2314500,289312,5e-6,0.397537,1.4882,84.32,0.0229,1.593803
2314600,289325,5e-6,0.350028,1.4191,82.12,0.0226,1.435627
2314700,289337,5e-6,0.367834,1.4446,81.41,0.0229,1.458834
2314800,289350,5e-6,0.355465,1.4268,91.81,0.0199,1.439535
2314900,289362,5e-6,0.338265,1.4025,74.97,0.0250,1.418436
2315000,289375,5e-6,0.363044,1.4377,80.90,0.0240,1.452076
2315100,289387,5e-6,0.347441,1.4154,115.83,0.0287,1.439419
