step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
27000,3375,9.9928075e-5,0.530686,1.7001,34.91,0.0228,2.778696
27100,3387,9.9927565e-5,0.540936,1.7176,42.31,0.0282,2.827481
27200,3400,9.9927e-5,0.551195,1.7353,36.17,0.0221,2.888804
27300,3412,9.992649e-5,0.535542,1.7084,35.57,0.0236,2.814874
27400,3425,9.992592e-5,0.547737,1.7293,35.59,0.0226,2.854831
27500,3437,9.99254e-5,0.518800,1.6800,35.07,0.0224,2.684529
27600,3450,9.9924844e-5,0.521723,1.6849,34.45,0.0238,2.717780
27700,3462,9.992432e-5,0.524623,1.6898,34.65,0.0223,2.716890
27800,3475,9.992375e-5,0.541031,1.7178,35.22,0.0236,2.823796
27900,3487,9.9923214e-5,0.515674,1.6748,35.57,0.0225,2.672573
28000,3500,9.992265e-5,0.521147,1.6840,35.66,0.0237,2.722602
28100,3512,9.992211e-5,0.536522,1.7100,41.84,0.0261,2.821623
28200,3525,9.992154e-5,0.548142,1.7300,35.61,0.0225,2.867932
28300,3537,9.9921e-5,0.526842,1.6936,35.59,0.0234,2.781119
28400,3550,9.992042e-5,0.527898,1.6954,35.44,0.0220,2.741847
28500,3562,9.991988e-5,0.535680,1.7086,35.70,0.0215,2.802753
28600,3575,9.99193e-5,0.524415,1.6895,35.67,0.0225,2.731060
28700,3587,9.991875e-5,0.527813,1.6952,35.31,0.0225,2.709403
28800,3600,9.9918165e-5,0.512533,1.6695,34.99,0.0221,2.665883
28900,3612,9.991761e-5,0.544594,1.7239,35.56,0.0223,2.856515
29000,3625,9.991703e-5,0.533258,1.7045,35.31,0.0229,2.774686
29100,3637,9.991648e-5,0.528380,1.6962,41.42,0.0261,2.779600
29200,3650,9.991588e-5,0.517139,1.6772,36.21,0.0227,2.702409
29300,3662,9.991531e-5,0.539414,1.7150,35.22,0.0229,2.819320
29400,3675,9.9914716e-5,0.531011,1.7007,35.78,0.0226,2.775481
29500,3687,9.991416e-5,0.507191,1.6606,34.93,0.0223,2.632538
29600,3700,9.991355e-5,0.521160,1.6840,35.44,0.0221,2.716328
