step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
201520,50380,5e-6,1.131001,3.0988,6259.39,8.0604,3.615850
201530,50382,5e-6,0.919896,2.5090,7114.52,7.2103,2.672415
201540,50385,5e-6,0.907322,2.4777,8514.14,7.7046,2.626005
201550,50387,5e-6,1.182880,3.2638,8365.87,7.4004,5.667270
201560,50390,5e-6,1.058545,2.8822,10729.42,7.3403,3.153945
201570,50392,5e-6,0.933558,2.5435,4425.80,9.0749,2.606643
201580,50395,5e-6,1.029860,2.8007,10681.19,6.7884,3.483666
201590,50397,5e-6,1.248413,3.4848,3934.04,8.3474,4.439458
201600,50400,5e-6,0.918194,2.5048,10707.69,8.0057,2.714456
201610,50402,5e-6,0.925768,2.5238,9919.53,7.3702,2.599988
201620,50405,5e-6,0.851203,2.3425,11562.09,7.0921,2.392343
201630,50407,5e-6,1.126701,3.0855,7965.55,8.1486,3.441959
201640,50410,5e-6,0.949486,2.5844,8368.80,7.6161,2.673533
201650,50412,5e-6,0.886331,2.4262,6477.95,7.8988,2.461166
201660,50415,5e-6,1.038410,2.8247,8967.77,8.6632,3.121912
201670,50417,5e-6,1.042824,2.8372,9834.16,7.8100,3.139557
201680,50420,5e-6,1.251717,3.4963,8847.20,7.5496,5.266222
201690,50422,5e-6,1.191817,3.2931,8674.54,8.8881,3.478251
201700,50425,5e-6,1.319327,3.7409,7541.80,7.6585,4.070072
201710,50427,5e-6,1.184624,3.2695,7890.94,8.6792,3.825120
201720,50430,5e-6,1.023517,2.7830,6473.03,7.8313,2.912925
201730,50432,5e-6,1.035326,2.8160,5555.20,8.4100,3.100296
201740,50435,5e-6,0.984238,2.6758,9583.71,7.5875,2.800089
201750,50437,5e-6,1.128358,3.0906,5718.32,8.0722,3.428861
201760,50440,5e-6,0.873545,2.3954,7553.53,7.6856,2.438084
201770,50442,5e-6,0.924715,2.5211,8047.91,7.3990,2.596686
201780,50445,5e-6,0.823286,2.2780,11076.28,8.0784,2.306797
201790,50447,5e-6,0.968942,2.6352,8740.67,7.5621,2.859662
201800,50450,5e-6,0.863512,2.3715,9007.74,7.4507,2.417631
201810,50452,5e-6,1.005158,2.7323,8590.84,8.6364,2.921057
201820,50455,5e-6,0.942401,2.5661,9295.54,9.0361,2.679063
201830,50457,5e-6,0.952016,2.5909,10371.67,8.0374,2.685979
201840,50460,5e-6,0.811214,2.2506,9327.64,8.4243,2.290159
201850,50462,5e-6,0.952666,2.5926,9213.93,8.6024,2.713080
201860,50465,5e-6,1.113461,3.0449,9473.60,8.1672,3.436627
201870,50467,5e-6,0.969741,2.6373,7234.88,9.0326,2.934855
201880,50470,5e-6,0.719559,2.0535,8148.05,7.8417,2.086219
201890,50472,5e-6,1.032971,2.8094,8350.39,9.2883,3.225898
201900,50475,5e-6,0.919842,2.5089,10410.15,8.2802,2.640408
201910,50477,5e-6,0.917236,2.5024,8876.85,7.4094,2.552021
201920,50480,5e-6,1.077696,2.9379,8738.06,7.9607,3.718075
201930,50482,5e-6,0.847829,2.3346,9030.49,8.7801,2.390722
201940,50485,5e-6,1.440582,4.2232,7259.25,7.5883,4.515723
201950,50487,5e-6,1.212349,3.3614,7263.38,8.7482,4.179475
201960,50490,5e-6,0.809168,2.2460,9065.94,9.1463,2.269534
201970,50492,5e-6,1.453404,4.2777,12334.37,8.1026,5.477207
201980,50495,5e-6,1.205487,3.3384,8361.59,8.8071,3.428876
201990,50497,5e-6,0.847634,2.3341,7122.92,7.8043,2.359296
