step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
3473800,868450,5e-6,0.378878,1.4606,124.33,0.0193,1.482076
3473900,868475,5e-6,0.434479,1.5442,118.66,0.0207,1.614818
3474000,868500,5e-6,0.399595,1.4912,119.75,0.0200,1.517778
3474100,868525,5e-6,0.423802,1.5278,159.23,0.0274,1.609841
3474200,868550,5e-6,0.408936,1.5052,121.82,0.0198,1.536117
3474300,868575,5e-6,0.402725,1.4959,128.01,0.0199,1.570293
3474400,868600,5e-6,0.399180,1.4906,122.08,0.0202,1.516852
3474500,868625,5e-6,0.402988,1.4963,121.59,0.0198,1.530006
3474600,868650,5e-6,0.390165,1.4772,115.74,0.0218,1.496888
3474700,868675,5e-6,0.393123,1.4816,120.06,0.0198,1.496238
3474800,868700,5e-6,0.379734,1.4619,109.35,0.0216,1.498579
3474900,868725,5e-6,0.385348,1.4701,117.69,0.0200,1.483095
3475000,868750,5e-6,0.403093,1.4964,116.00,0.0210,1.567917
3475100,868775,5e-6,0.383242,1.4670,151.45,0.0265,1.503014
3475200,868800,5e-6,0.361176,1.4350,118.74,0.0214,1.447713
3475300,868825,5e-6,0.376992,1.4579,120.04,0.0198,1.472697
3475400,868850,5e-6,0.370719,1.4488,127.90,0.0201,1.460187
3475500,868875,5e-6,0.434766,1.5446,111.89,0.0206,1.626552
3475600,868900,5e-6,0.372075,1.4507,111.98,0.0220,1.467165
3475700,868925,5e-6,0.415515,1.5152,125.09,0.0191,1.558347
3475800,868950,5e-6,0.395727,1.4855,125.53,0.0211,1.572362
3475900,868975,5e-6,0.363840,1.4388,117.85,0.0202,1.450942
3476000,869000,5e-6,0.359257,1.4323,122.09,0.0211,1.443511
3476100,869025,5e-6,0.394259,1.4833,168.04,0.0242,1.502034
3476200,869050,5e-6,0.409299,1.5058,121.10,0.0222,1.529070
3476300,869075,5e-6,0.401489,1.4940,115.94,0.0206,1.541238
3476400,869100,5e-6,0.371860,1.4504,121.56,0.0203,1.472029
3476500,869125,5e-6,0.396980,1.4873,121.76,0.0203,1.512008
3476600,869150,5e-6,0.369776,1.4474,123.40,0.0200,1.459034
3476700,869175,5e-6,0.405000,1.4993,116.59,0.0206,1.537856
3476800,869200,5e-6,0.388011,1.4740,119.10,0.0207,1.497690
3476900,869225,5e-6,0.375792,1.4561,116.44,0.0215,1.473598
3477000,869250,5e-6,0.434609,1.5444,118.87,0.0203,1.651688
3477100,869275,5e-6,0.376467,1.4571,156.76,0.0260,1.467166
3477200,869300,5e-6,0.383865,1.4679,117.86,0.0201,1.496731
3477300,869325,5e-6,0.384127,1.4683,123.70,0.0199,1.494437
3477400,869350,5e-6,0.403108,1.4965,113.52,0.0210,1.532392
3477500,869375,5e-6,0.390229,1.4773,122.05,0.0211,1.498616
3477600,869400,5e-6,0.408456,1.5045,124.43,0.0193,1.535214
3477700,869425,5e-6,0.343473,1.4098,116.28,0.0207,1.417450
3477800,869450,5e-6,0.358003,1.4305,114.76,0.0201,1.443531
3477900,869475,5e-6,0.414465,1.5136,118.59,0.0224,1.547691
3478000,869500,5e-6,0.363838,1.4388,113.25,0.0208,1.455258
3478100,869525,5e-6,0.368605,1.4457,172.41,0.0252,1.459086
3478200,869550,5e-6,0.389112,1.4757,114.63,0.0212,1.497562
3478300,869575,5e-6,0.390800,1.4782,118.90,0.0209,1.515149
3478400,869600,5e-6,0.389132,1.4757,117.26,0.0203,1.535687
3478500,869625,5e-6,0.397560,1.4882,130.36,0.0213,1.543246
3478600,869650,5e-6,0.378055,1.4594,121.08,0.0202,1.490957
3478700,869675,5e-6,0.404696,1.4988,118.34,0.0205,1.582188
3478800,869700,5e-6,0.382225,1.4655,116.75,0.0204,1.528390
3478900,869725,5e-6,0.362143,1.4364,117.52,0.0212,1.450784
3479000,869750,5e-6,0.379783,1.4620,124.44,0.0197,1.488878
3479100,869775,5e-6,0.380450,1.4629,153.32,0.0280,1.477521
3479200,869800,5e-6,0.383449,1.4673,113.27,0.0210,1.496673
3479300,869825,5e-6,0.393696,1.4825,113.62,0.0213,1.500086
3479400,869850,5e-6,0.365834,1.4417,126.30,0.0215,1.454624
3479500,869875,5e-6,0.375859,1.4562,110.24,0.0216,1.506006
3479600,869900,5e-6,0.380622,1.4632,139.64,0.0197,1.487731
3479700,869925,5e-6,0.380019,1.4623,122.55,0.0217,1.480143
3479800,869950,5e-6,0.365073,1.4406,123.77,0.0206,1.456343
3479900,869975,5e-6,0.399127,1.4905,127.45,0.0202,1.504045
3480000,870000,5e-6,0.400011,1.4918,118.53,0.0208,1.510511
3480100,870025,5e-6,0.385644,1.4706,170.21,0.0269,1.484336
3480200,870050,5e-6,0.417863,1.5187,122.00,0.0217,1.568591
3480300,870075,5e-6,0.384293,1.4686,115.48,0.0216,1.495001
3480400,870100,5e-6,0.379515,1.4616,118.18,0.0222,1.480877
3480500,870125,5e-6,0.375802,1.4562,132.62,0.0203,1.468010
3480600,870150,5e-6,0.390331,1.4775,121.15,0.0216,1.510215
3480700,870175,5e-6,0.369876,1.4476,118.06,0.0221,1.464306
3480800,870200,5e-6,0.363508,1.4384,115.46,0.0223,1.471343
3480900,870225,5e-6,0.364467,1.4397,118.65,0.0216,1.453200
3481000,870250,5e-6,0.374905,1.4549,118.88,0.0219,1.484484
3481100,870275,5e-6,0.378154,1.4596,151.93,0.0268,1.585421
3481200,870300,5e-6,0.409068,1.5054,127.02,0.0204,1.541049
3481300,870325,5e-6,0.361272,1.4352,117.87,0.0215,1.452525
3481400,870350,5e-6,0.468824,1.5981,122.55,0.0206,1.836424
3481500,870375,5e-6,0.358339,1.4310,117.75,0.0221,1.445442
3481600,870400,5e-6,0.347907,1.4161,117.37,0.0205,1.428006
3481700,870425,5e-6,0.419928,1.5219,112.87,0.0222,1.563838
3481800,870450,5e-6,0.374445,1.4542,115.97,0.0214,1.475313
3481900,870475,5e-6,0.358181,1.4307,114.21,0.0219,1.441672
3482000,870500,5e-6,0.379082,1.4609,129.46,0.0198,1.482977
3482100,870525,5e-6,0.377061,1.4580,154.98,0.0292,1.487370
3482200,870550,5e-6,0.365585,1.4414,125.40,0.0207,1.460755
3482300,870575,5e-6,0.367643,1.4443,119.96,0.0215,1.459925
3482400,870600,5e-6,0.370805,1.4489,135.19,0.0199,1.459688
3482500,870625,5e-6,0.369507,1.4470,115.65,0.0207,1.471620
3482600,870650,5e-6,0.381178,1.4640,113.39,0.0214,1.525136
3482700,870675,5e-6,0.365322,1.4410,130.11,0.0202,1.456702
3482800,870700,5e-6,0.351781,1.4216,121.26,0.0216,1.432246
3482900,870725,5e-6,0.376891,1.4577,126.06,0.0211,1.472350
3483000,870750,5e-6,0.406551,1.5016,118.54,0.0222,1.540762
3483100,870775,5e-6,0.372569,1.4515,169.14,0.0269,1.509932
3483200,870800,5e-6,0.390860,1.4783,128.90,0.0206,1.528771
3483300,870825,5e-6,0.368808,1.4460,104.00,0.0231,1.520324
3483400,870850,5e-6,0.372176,1.4509,123.69,0.0207,1.463864
3483500,870875,5e-6,0.385423,1.4702,122.43,0.0205,1.490464
3483600,870900,5e-6,0.397062,1.4874,123.16,0.0203,1.515475
3483700,870925,5e-6,0.378246,1.4597,118.54,0.0208,1.475717
3483800,870950,5e-6,0.378393,1.4599,123.43,0.0204,1.501367
3483900,870975,5e-6,0.370394,1.4483,109.42,0.0223,1.467061
3484000,871000,5e-6,0.344583,1.4114,121.79,0.0207,1.421540
3484100,871025,5e-6,0.418892,1.5203,158.28,0.0270,1.585693
3484200,871050,5e-6,0.378158,1.4596,122.84,0.0206,1.519960
3484300,871075,5e-6,0.366900,1.4433,128.09,0.0210,1.459984
3484400,871100,5e-6,0.401790,1.4945,127.13,0.0208,1.516025
3484500,871125,5e-6,0.366185,1.4422,121.05,0.0213,1.461349
3484600,871150,5e-6,0.361957,1.4361,119.51,0.0209,1.456205
3484700,871175,5e-6,0.355036,1.4262,115.86,0.0221,1.439030
3484800,871200,5e-6,0.387766,1.4737,121.94,0.0205,1.492251
3484900,871225,5e-6,0.377483,1.4586,125.85,0.0212,1.471447
3485000,871250,5e-6,0.363380,1.4382,109.11,0.0221,1.449875
3485100,871275,5e-6,0.391974,1.4799,152.83,0.0278,1.511692
3485200,871300,5e-6,0.355050,1.4263,127.14,0.0204,1.435589
3485300,871325,5e-6,0.364131,1.4393,128.44,0.0201,1.461247
3485400,871350,5e-6,0.380976,1.4637,118.21,0.0212,1.486286
3485500,871375,5e-6,0.370481,1.4484,121.73,0.0197,1.461522
3485600,871400,5e-6,0.356888,1.4289,117.97,0.0210,1.442820
3485700,871425,5e-6,0.382168,1.4655,115.86,0.0218,1.510262
3485800,871450,5e-6,0.366406,1.4425,119.52,0.0210,1.455044
3485900,871475,5e-6,0.374535,1.4543,113.47,0.0223,1.531812
3486000,871500,5e-6,0.386969,1.4725,131.36,0.0205,1.501125
3486100,871525,5e-6,0.357539,1.4298,159.25,0.0272,1.438209
3486200,871550,5e-6,0.363896,1.4389,124.28,0.0201,1.455093
3486300,871575,5e-6,0.371034,1.4492,118.17,0.0216,1.461113
3486400,871600,5e-6,0.388795,1.4752,124.61,0.0209,1.499729
3486500,871625,5e-6,0.375959,1.4564,114.30,0.0221,1.510609
3486600,871650,5e-6,0.384320,1.4686,125.41,0.0210,1.497176
3486700,871675,5e-6,0.364814,1.4402,118.83,0.0216,1.455883
3486800,871700,5e-6,0.355412,1.4268,118.84,0.0205,1.439868
3486900,871725,5e-6,0.399588,1.4912,122.05,0.0198,1.568689
3487000,871750,5e-6,0.358804,1.4316,119.03,0.0218,1.447789
3487100,871775,5e-6,0.396481,1.4866,151.76,0.0293,1.546311
3487200,871800,5e-6,0.365024,1.4405,121.51,0.0210,1.451870
3487300,871825,5e-6,0.388223,1.4744,112.51,0.0211,1.498681
3487400,871850,5e-6,0.389676,1.4765,121.29,0.0205,1.511847
3487500,871875,5e-6,0.383825,1.4679,112.31,0.0211,1.482549
3487600,871900,5e-6,0.358218,1.4308,112.07,0.0216,1.441560
3487700,871925,5e-6,0.360686,1.4343,122.00,0.0200,1.444696
3487800,871950,5e-6,0.380461,1.4630,117.14,0.0208,1.504270
3487900,871975,5e-6,0.443942,1.5588,121.55,0.0199,1.656493
3488000,872000,5e-6,0.377350,1.4584,131.63,0.0197,1.470030
3488100,872025,5e-6,0.373027,1.4521,156.00,0.0301,1.470541
3488200,872050,5e-6,0.380212,1.4626,117.06,0.0201,1.480030
3488300,872075,5e-6,0.362198,1.4365,114.86,0.0206,1.450003
3488400,872100,5e-6,0.393320,1.4819,116.19,0.0200,1.534756
3488500,872125,5e-6,0.370278,1.4481,107.94,0.0215,1.472303
3488600,872150,5e-6,0.389946,1.4769,120.40,0.0200,1.512956
3488700,872175,5e-6,0.358718,1.4315,113.68,0.0203,1.443086
3488800,872200,5e-6,0.409727,1.5064,123.16,0.0194,1.628129
3488900,872225,5e-6,0.343576,1.4100,124.84,0.0195,1.421132
3489000,872250,5e-6,0.374311,1.4540,113.19,0.0206,1.468055
3489100,872275,5e-6,0.364462,1.4397,152.36,0.0267,1.460907
3489200,872300,5e-6,0.357735,1.4301,109.37,0.0215,1.471793
3489300,872325,5e-6,0.383569,1.4675,114.67,0.0207,1.495612
3489400,872350,5e-6,0.373024,1.4521,115.72,0.0214,1.476129
3489500,872375,5e-6,0.381300,1.4642,116.52,0.0207,1.484905
3489600,872400,5e-6,0.365148,1.4407,122.84,0.0193,1.461276
3489700,872425,5e-6,0.380682,1.4633,119.38,0.0205,1.479752
3489800,872450,5e-6,0.387889,1.4739,111.73,0.0208,1.508618
3489900,872475,5e-6,0.379030,1.4609,126.68,0.0185,1.476024
3490000,872500,5e-6,0.370447,1.4484,113.95,0.0204,1.512545
3490100,872525,5e-6,0.357004,1.4290,164.12,0.0277,1.444202
3490200,872550,5e-6,0.368507,1.4456,126.12,0.0197,1.465152
3490300,872575,5e-6,0.357891,1.4303,107.48,0.0215,1.479060
3490400,872600,5e-6,0.376257,1.4568,115.75,0.0200,1.497116
