step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
470030,117507,5e-6,0.835000,2.3048,6859.11,9.0535,2.555265
470040,117510,5e-6,0.960181,2.6122,10811.96,8.1999,2.831167
470050,117512,5e-6,0.753219,2.1238,9764.32,8.5693,2.167805
470060,117515,5e-6,0.816481,2.2625,8301.26,8.3110,2.312078
470070,117517,5e-6,0.724121,2.0629,10628.46,8.3271,2.097362
470080,117520,5e-6,0.957293,2.6046,5975.93,8.1266,3.334713
470090,117522,5e-6,1.368014,3.9275,5079.40,7.4496,10.713493
470100,117525,5e-6,0.949723,2.5850,8496.71,8.7076,2.836880
470110,117527,5e-6,0.742761,2.1017,7693.70,9.0100,2.138353
470120,117530,5e-6,0.911679,2.4885,5754.88,8.2977,2.575682
470130,117532,5e-6,0.999480,2.7169,9110.87,8.1296,2.927085
470140,117535,5e-6,1.366096,3.9200,9650.57,8.8789,4.499007
470150,117537,5e-6,1.127344,3.0874,5760.49,8.3646,3.431060
470160,117540,5e-6,0.787595,2.1981,12489.04,8.5946,2.243222
470170,117542,5e-6,1.011458,2.7496,12205.58,8.4472,3.236290
470180,117545,5e-6,0.784136,2.1905,9894.79,7.9706,2.247014
470190,117547,5e-6,1.020765,2.7753,10217.14,8.8379,2.931303
470200,117550,5e-6,0.858203,2.3589,10241.65,9.2157,2.806277
470210,117552,5e-6,0.655311,1.9257,8151.66,9.0008,1.957301
470220,117555,5e-6,0.781454,2.1846,7614.84,7.8955,2.246001
470230,117557,5e-6,1.058911,2.8832,6889.39,9.2728,3.453841
470240,117560,5e-6,0.758867,2.1359,11626.12,9.2748,2.248799
470250,117562,5e-6,0.768840,2.1573,7879.28,8.1024,2.219435
470260,117565,5e-6,0.754267,2.1261,14776.12,7.5105,2.133355
470270,117567,5e-6,0.847487,2.3338,7348.27,7.5216,2.418243
470280,117570,5e-6,0.958011,2.6065,8437.69,8.2919,3.178361
470290,117572,5e-6,1.027187,2.7932,5528.10,8.6556,3.705767
470300,117575,5e-6,0.647611,1.9110,8390.85,7.9440,1.920218
470310,117577,5e-6,0.812971,2.2546,8075.29,9.8771,2.390424
